cINSEE;cp;Commune;Departement;Region;Statut;altitude;de Moyenne;population;geo_point_2d;geo_shape;ID Geofla;Code Commune;Code Canton;Code Arrondissement;Code Département;Code Région
59605;59229;UXEM;NORD;NORD-PAS-DE-CALAIS;Commune simple;1;;1,3;51.0239750832,2.49246889837;"{""type"": ""Polygon"", ""coordinates"": [[[2.50585514851179, 51.00390740478015], [2.4964952263561733, 51.00731431597049], [2.47571316400616, 51.023265907911984], [2.469184498195868, 51.032709681704], [2.466856829957051, 51.052162114306924], [2.471089911543235, 51.054189035580634], [2.4825994405605942, 51.035277125313584], [2.5015465701130113, 51.02960488849772], [2.517057938226201, 51.01995221538486], [2.521677318388437, 51.00981685118873], [2.50585514851179, 51.00390740478015]]]}";24063;605;25;4;59;31
13078;13230;PORT-SAINT-LOUIS-DU-RHONE;BOUCHES-DU-RHONE;PROVENCE-ALPES-COTE D'AZUR;Chef-lieu canton;1;;8,7;43.4148193741,4.80679663589;"{""type"": ""Polygon"", ""coordinates"": [[[4.847295122950995, 43.326855458088104], [4.835447840011944, 43.34226437016925], [4.832235562112101, 43.36686663267783], [4.75432142068505, 43.40938886794049], [4.734852309238815, 43.42972451334891], [4.749735120703335, 43.45950531732198], [4.764341586237724, 43.47373897008174], [4.77265918149773, 43.47739190801046], [4.800971966842768, 43.477825189321045], [4.815981041131491, 43.46981749592111], [4.82461511386842, 43.47284023351243], [4.838138835184184, 43.46256861988729], [4.82933468757055, 43.45999982466657], [4.8297563124807, 43.45655503210595], [4.841644824863346, 43.45090917264529], [4.8407456171096666, 43.44751378459711], [4.818731197780371, 43.42511810541651], [4.816402298203267, 43.41861500249123], [4.841106326429093, 43.40360171344581], [4.833719488444703, 43.39488127241059], [4.854227771302758, 43.39369508144371], [4.850718007772413, 43.37933017672018], [4.833101209744817, 43.375463610375824], [4.866788980524139, 43.37045143605184], [4.8823188876063615, 43.35686441628403], [4.9130426211461, 43.377409635168036], [4.912221281108662, 43.38685496042361], [4.919124094706046, 43.37702300597786], [4.860000668376694, 43.336715855612454], [4.8570841555072715, 43.32693075112974], [4.847295122950995, 43.326855458088104]]]}";12756;78;28;2;13;93
30133;30240;LE GRAU-DU-ROI;GARD;LANGUEDOC-ROUSSILLON;Commune simple;1;;8;43.5072810882,4.16622948662;"{""type"": ""Polygon"", ""coordinates"": [[[4.230283393392478, 43.460185432726384], [4.164078982922132, 43.47136304976681], [4.131205938859921, 43.48530669584406], [4.116386891518563, 43.506821238048516], [4.122389580504696, 43.52174097641967], [4.137683781777997, 43.52352527913273], [4.138986164934914, 43.53183487642576], [4.126546130722545, 43.54390528966945], [4.101041675406393, 43.554370946408625], [4.109015837399716, 43.568795016919815], [4.140989539435729, 43.5617149963442], [4.162963035730241, 43.54813733683905], [4.175472525262529, 43.53313746730187], [4.180289161214799, 43.5195609254372], [4.200627093427824, 43.49991086368675], [4.213829627392158, 43.4958677591175], [4.237933076244773, 43.49708000270272], [4.23935653831777, 43.493734455030356], [4.231604603218983, 43.480928603902896], [4.230283393392478, 43.460185432726384]]]}";25165;133;1;2;30;91
33370;33390;SAINT-ANDRONY;GIRONDE;AQUITAINE;Commune simple;2;;0,6;45.2014736682,-0.686129899592;"{""type"": ""Polygon"", ""coordinates"": [[[-0.700455542894544, 45.16699689259904], [-0.7132180582592941, 45.1845378775948], [-0.7379700386390641, 45.22903530811342], [-0.690120420300388, 45.236368805488624], [-0.679820982919484, 45.23186810259512], [-0.669069087827957, 45.21251735135576], [-0.653246874845822, 45.205563772796765], [-0.6487434752519481, 45.19597615155299], [-0.6256381810680991, 45.19256484953178], [-0.624947039009762, 45.18388911206862], [-0.6325390098361211, 45.17520538981013], [-0.665744894895348, 45.17785094284228], [-0.6747191297393571, 45.175365327596886], [-0.67398546874297, 45.17196421067521], [-0.68724872776222, 45.172310806362184], [-0.6928311426944841, 45.18137451330137], [-0.695984971318058, 45.16818172748765], [-0.700455542894544, 45.16699689259904]]]}";28739;370;7;1;33;72
59307;59143;HOLQUE;NORD;NORD-PAS-DE-CALAIS;Commune simple;2;;1;50.856500023,2.2050645429;"{""type"": ""Polygon"", ""coordinates"": [[[2.208123085886401, 50.83808639445349], [2.2026472854598422, 50.84294119886348], [2.203616370771867, 50.849712159300225], [2.192319903465876, 50.86118613444876], [2.190340370397582, 50.87137398894763], [2.201488307578446, 50.872917145951405], [2.212260211476203, 50.8587836296246], [2.220251638555859, 50.85535282558511], [2.2126081632565042, 50.839397782596066], [2.208123085886401, 50.83808639445349]]]}";28251;307;12;4;59;31
85083;85740;L'EPINE;VENDEE;PAYS DE LA LOIRE;Commune simple;2;;1,7;46.9843405667,-2.26449527608;"{""type"": ""Polygon"", ""coordinates"": [[[-2.267277079693389, 46.96395831402114], [-2.284562355906424, 46.98178230162156], [-2.301813103356832, 46.98974276236682], [-2.289597959936251, 46.99495135024391], [-2.265715964902459, 46.9918672348587], [-2.2468044131680722, 46.99402923627222], [-2.237605156525866, 46.99585534276913], [-2.234451436949885, 46.99339092095778], [-2.236889284457825, 46.980873167192186], [-2.232543489347635, 46.97507918197369], [-2.250637947569309, 46.9805722266491], [-2.261707150169502, 46.973480060176314], [-2.267277079693389, 46.96395831402114]]]}";4228;83;18;3;85;52
30276;30220;SAINT-LAURENT-D'AIGOUZE;GARD;LANGUEDOC-ROUSSILLON;Commune simple;2;;3,2;43.5704667383,4.24257576884;"{""type"": ""Polygon"", ""coordinates"": [[[4.244232817649848, 43.501461983511845], [4.228870831888933, 43.53513746270656], [4.224335657185322, 43.559700335929065], [4.207849482202679, 43.588905256565006], [4.17944966309684, 43.58528495905818], [4.150215691493673, 43.58556246815687], [4.149610036535636, 43.59611516293939], [4.170054258761252, 43.61080765818368], [4.192905802694065, 43.641866119351086], [4.193817811553915, 43.65174595914257], [4.230076459891444, 43.6243629515892], [4.241249713558401, 43.61346428288791], [4.237686802585091, 43.59011715716495], [4.265276958353529, 43.589295364435415], [4.288847935112857, 43.59035006810703], [4.292474052817654, 43.58424181677286], [4.289496052962703, 43.57070717614174], [4.315305046657856, 43.5627937492858], [4.3185204933263535, 43.557319569146884], [4.309186729608223, 43.546283291722226], [4.320893795674907, 43.52763154443286], [4.293263782341427, 43.51435885432678], [4.244232817649848, 43.501461983511845]]]}";1330;276;1;2;30;91
59130;59630;CAPPELLE-BROUCK;NORD;NORD-PAS-DE-CALAIS;Commune simple;2;;1,2;50.8938368005,2.22204306272;"{""type"": ""Polygon"", ""coordinates"": [[[2.220251638555859, 50.85535282558511], [2.212260211476203, 50.8587836296246], [2.201488307578446, 50.872917145951405], [2.206809371090772, 50.87891707878307], [2.208105694810368, 50.892857715843924], [2.197390614075193, 50.91263327736342], [2.19842754690119, 50.91963721612368], [2.205976735356296, 50.92416184972716], [2.241592995301754, 50.915421342207296], [2.245332976344492, 50.89988838829303], [2.2512129928806752, 50.89470262128224], [2.241676823342169, 50.880946010044056], [2.230794997137369, 50.87389968898397], [2.220251638555859, 50.85535282558511]]]}";17403;130;12;4;59;31
97361;97319;AWALA-YALIMAPO;GUYANE;GUYANE;Commune simple;2;;1,3;5.68354192071,-53.9162639219;"{""type"": ""Polygon"", ""coordinates"": [[[-53.820948490356486, 5.729107425242865], [-53.83289610353206, 5.695102044329341], [-53.832682106619586, 5.684558655182276], [-53.854555737229695, 5.651616397996559], [-53.87092908106649, 5.644994119697383], [-53.88461751850518, 5.6079274864941695], [-53.88886549268575, 5.60249449353534], [-53.895643054919624, 5.603481961351047], [-53.909119098513195, 5.614979838124514], [-53.92657511802352, 5.617937347528633], [-53.940437285776156, 5.6343379012746535], [-53.95385914857094, 5.638425838515969], [-53.959782881412515, 5.6470598278259345], [-53.96281959190499, 5.64834530954804], [-53.96975263583944, 5.640856473596357], [-53.9728607546418, 5.6420060270570715], [-53.97632096493819, 5.655585069767247], [-53.98289812929654, 5.654367774158471], [-53.997155438372644, 5.643742303496429], [-54.01512896962087, 5.643884197656871], [-54.01138513486033, 5.664528464070741], [-53.97132731741883, 5.7350051313139545], [-53.968394554316696, 5.7451931285607944], [-53.95049255736096, 5.743939775852315], [-53.93688679146812, 5.746765490532953], [-53.896029691770394, 5.733439818836207], [-53.838635453737766, 5.732227595031354], [-53.820948490356486, 5.729107425242865]]]}";21;361;9;2;97;3
66180;66250;SAINT-LAURENT-DE-LA-SALANQUE;PYRENEES-ORIENTALES;LANGUEDOC-ROUSSILLON;Chef-lieu canton;2;;8,6;42.7935650332,3.00207879592;"{""type"": ""Polygon"", ""coordinates"": [[[2.981232206391426, 42.76206823317312], [2.973492319092275, 42.7694396844738], [2.977433552636687, 42.77136479076421], [2.9749165087849683, 42.778045022206115], [2.9941264609686034, 42.801965904169315], [3.012576122421839, 42.85236591365924], [3.018428145277068, 42.806999939918256], [3.017589350879813, 42.779341315306006], [3.02592276129874, 42.7714269728531], [2.981232206391426, 42.76206823317312]]]}";24325;180;14;2;66;91
59131;59180;CAPPELLE-LA-GRANDE;NORD;NORD-PAS-DE-CALAIS;Commune simple;2;;8,1;50.9960740777,2.37003367458;"{""type"": ""Polygon"", ""coordinates"": [[[2.37579142368992, 50.981512172878354], [2.370411589164847, 50.98107260105826], [2.354812658467626, 50.99072525992802], [2.350803434531636, 51.00065178775203], [2.368180556462098, 51.01135155299412], [2.3841348328114123, 51.00201320653271], [2.391248394846476, 50.998038653430335], [2.37579142368992, 50.981512172878354]]]}";19497;131;26;4;59;31
85106;85680;LA GUERINIERE;VENDEE;PAYS DE LA LOIRE;Commune simple;2;;1,5;46.9669962053,-2.2302799245;"{""type"": ""Polygon"", ""coordinates"": [[[-2.198074942844874, 46.9511766333068], [-2.221958180456913, 46.9647316656085], [-2.242603355748163, 46.964912656792826], [-2.255006960328127, 46.95868966206475], [-2.267277079693389, 46.96395831402114], [-2.261707150169502, 46.973480060176314], [-2.250637947569309, 46.9805722266491], [-2.232543489347635, 46.97507918197369], [-2.222546001963241, 46.97462151736316], [-2.187332418470049, 46.96115325315611], [-2.198074942844874, 46.9511766333068]]]}";32798;106;18;3;85;52
59576;59380;SPYCKER;NORD;NORD-PAS-DE-CALAIS;Commune simple;2;;1,5;50.9751405786,2.31360058844;"{""type"": ""Polygon"", ""coordinates"": [[[2.318935250283962, 50.95476296853415], [2.284036901660447, 50.97582706989963], [2.288123812636092, 50.98015594916739], [2.317963687442742, 50.99672782874176], [2.330174229366349, 50.986092981753465], [2.331007145174597, 50.97274135594076], [2.338474362732782, 50.96353302039454], [2.318935250283962, 50.95476296853415]]]}";16748;576;12;4;59;31
34324;34350;VALRAS-PLAGE;HERAULT;LANGUEDOC-ROUSSILLON;Commune simple;2;;4,6;43.2476112282,3.28929431362;"{""type"": ""Polygon"", ""coordinates"": [[[3.271341485087466, 43.233397565210396], [3.268659295840651, 43.235985908857515], [3.28665152316326, 43.254389084787206], [3.304109428159557, 43.25799349182841], [3.3116227796510582, 43.25448185676407], [3.271341485087466, 43.233397565210396]]]}";25817;324;39;1;34;91
85297;85580;TRIAIZE;VENDEE;PAYS DE LA LOIRE;Commune simple;2;;1;46.3792685111,-1.19928351422;"{""type"": ""Polygon"", ""coordinates"": [[[-1.163774099752495, 46.324345353213715], [-1.169668079638773, 46.31953987848339], [-1.197237961967754, 46.31536176269902], [-1.202043746195584, 46.316086239675556], [-1.213512563781804, 46.35310323272839], [-1.236004676927685, 46.371422661622326], [-1.232007968294013, 46.381039640462056], [-1.244580991053542, 46.385721239152225], [-1.237263620408634, 46.39436182325669], [-1.247637920998736, 46.40558155182598], [-1.243027465551303, 46.41837788080271], [-1.230992813986634, 46.43670670296353], [-1.222027558233356, 46.43479343093041], [-1.222825495616044, 46.4314544846197], [-1.218606927592845, 46.429689824539636], [-1.209408650151034, 46.42727024236497], [-1.199893861765218, 46.42902761936577], [-1.196670037417319, 46.4264500673484], [-1.190316630594298, 46.421660968583886], [-1.163752430207337, 46.41495104228441], [-1.163038733054659, 46.394490103927616], [-1.1683821333135, 46.38476368669768], [-1.16216720613748, 46.37178058805034], [-1.166068548708933, 46.3582023763819], [-1.163774099752495, 46.324345353213715]]]}";10842;297;11;1;85;52
59110;59630;BROUCKERQUE;NORD;NORD-PAS-DE-CALAIS;Commune simple;2;;1,3;50.9515630712,2.28707334994;"{""type"": ""Polygon"", ""coordinates"": [[[2.294612572531104, 50.932300814842066], [2.257983143003853, 50.938350096393116], [2.264576034460902, 50.95532511628831], [2.269589023522601, 50.95922963692921], [2.284036901660447, 50.97582706989963], [2.318935250283962, 50.95476296853415], [2.294612572531104, 50.932300814842066]]]}";32982;110;12;4;59;31
17207;17111;LOIX;CHARENTE-MARITIME;POITOU-CHARENTES;Commune simple;2;;0,7;46.2206970303,-1.44742224343;"{""type"": ""Polygon"", ""coordinates"": [[[-1.480898348211928, 46.2100267884653], [-1.483874160407338, 46.21082936111383], [-1.467656237014506, 46.21873775422848], [-1.462218477028186, 46.22726713038274], [-1.457596196385381, 46.228593951507776], [-1.416731241404755, 46.228827442032646], [-1.421022146134365, 46.21952442193268], [-1.444398053316492, 46.21409401224633], [-1.480898348211928, 46.2100267884653]]]}";33104;207;3;3;17;54
85172;85300;LE PERRIER;VENDEE;PAYS DE LA LOIRE;Commune simple;2;;1,8;46.8196487652,-1.97926629071;"{""type"": ""Polygon"", ""coordinates"": [[[-1.977055532597596, 46.77138629973458], [-1.981446783497414, 46.7695898876073], [-1.996898019560772, 46.77823795708831], [-2.014956451537598, 46.798959173525276], [-2.016758645688707, 46.80224570237834], [-2.019906576657919, 46.82302139588939], [-2.025204342931989, 46.82883459931755], [-2.016737049697866, 46.83278637909626], [-2.014532087544053, 46.839351414200856], [-2.004541632932031, 46.84747360318038], [-1.979474919710374, 46.847145904209846], [-1.962788782068185, 46.83954965781889], [-1.9270964286482841, 46.83942550455483], [-1.9184580609404651, 46.83579908768771], [-1.9149237812369981, 46.82742516416751], [-1.905400125323277, 46.82241038069178], [-1.919262356282261, 46.81832638456243], [-1.938843291817308, 46.82206914024995], [-1.965871700800328, 46.81282956363402], [-1.979981566730182, 46.802935209306376], [-1.979097051010843, 46.79288713192889], [-1.986894094223171, 46.78940009721272], [-1.987321419682742, 46.786052441218445], [-1.977055532597596, 46.77138629973458]]]}";14198;172;29;3;85;52
59260;59254;GHYVELDE;NORD;NORD-PAS-DE-CALAIS;Commune simple;2;;3,3;51.0486014481,2.51379722419;"{""type"": ""Polygon"", ""coordinates"": [[[2.517057938226201, 51.01995221538486], [2.5015465701130113, 51.02960488849772], [2.4825994405605942, 51.035277125313584], [2.471089911543235, 51.054189035580634], [2.466931469391967, 51.06644935929901], [2.473280972853815, 51.06766901144014], [2.478883333103511, 51.05463425152119], [2.503404624115388, 51.06007014439907], [2.544982368101874, 51.06553735677037], [2.559218288907126, 51.07005449118211], [2.566089469584538, 51.04604284573686], [2.549424479492685, 51.054387625893], [2.534100658483781, 51.05113875138702], [2.517057938226201, 51.01995221538486]]]}";29091;260;31;4;59;31
34280;34400;SAINT-NAZAIRE-DE-PEZAN;HERAULT;LANGUEDOC-ROUSSILLON;Commune simple;2;;0,6;43.6351201941,4.11706198292;"{""type"": ""Polygon"", ""coordinates"": [[[4.1107809808131694, 43.615893020387134], [4.101811495754857, 43.64156760709466], [4.106424205863629, 43.64237564745443], [4.112730244963706, 43.65061719950424], [4.133414277576719, 43.64308750494912], [4.133486650837655, 43.6411070092134], [4.127394429190242, 43.62808614422505], [4.1107809808131694, 43.615893020387134]]]}";15690;280;17;3;34;91
66176;66510;SAINT-HIPPOLYTE;PYRENEES-ORIENTALES;LANGUEDOC-ROUSSILLON;Commune simple;2;;2,4;42.806945541,2.97367162246;"{""type"": ""Polygon"", ""coordinates"": [[[2.973492319092275, 42.7694396844738], [2.968989120133031, 42.769105786958654], [2.943029880631382, 42.78248370494219], [2.940249025039781, 42.79208537994442], [2.940495045486163, 42.80221931105805], [2.959591800067547, 42.82193856964715], [3.012576122421839, 42.85236591365924], [2.9941264609686034, 42.801965904169315], [2.9749165087849683, 42.778045022206115], [2.977433552636687, 42.77136479076421], [2.973492319092275, 42.7694396844738]]]}";26139;176;14;2;66;91
44168;44720;SAINT-JOACHIM;LOIRE-ATLANTIQUE;PAYS DE LA LOIRE;Commune simple;2;;4;47.3721622371,-2.24296601109;"{""type"": ""Polygon"", ""coordinates"": [[[-2.238254170358704, 47.31286710968403], [-2.247945719200361, 47.319583459837474], [-2.257097964168867, 47.32009815567231], [-2.268790088258945, 47.33187397034132], [-2.282824610851838, 47.33638734088439], [-2.289540808827559, 47.34540145751137], [-2.302103946777288, 47.3355256366431], [-2.310741668816851, 47.33710639777672], [-2.31734893439329, 47.34684592297952], [-2.315292253106084, 47.35381542974408], [-2.315310073915533, 47.353995065850754], [-2.313242911376876, 47.36073038312626], [-2.317444013276995, 47.37001166808389], [-2.300078922684046, 47.37678786500912], [-2.29097902725648, 47.39653783639778], [-2.295015314014096, 47.40255216154995], [-2.290251675526813, 47.403833889328524], [-2.285036524227357, 47.404044273464315], [-2.27319135973402, 47.41573401060103], [-2.276722259153634, 47.43294111569263], [-2.266851881326586, 47.42465566824166], [-2.240436145052416, 47.413382040566], [-2.225677744186705, 47.41632039108135], [-2.214027857302119, 47.42348376540986], [-2.200158053912127, 47.41645516655517], [-2.18461295876723, 47.4030675696162], [-2.18699851794784, 47.39642048330326], [-2.184160040666659, 47.39358819681982], [-2.174418416576652, 47.3953398344635], [-2.164029673932248, 47.38790863078406], [-2.171507676092822, 47.37510817683447], [-2.168747891056607, 47.36522631118304], [-2.197488530649446, 47.36022576260717], [-2.208029455868798, 47.34860220051032], [-2.206031939751828, 47.34211494136395], [-2.20136847399705, 47.335638972789745], [-2.204824213284191, 47.323665289832775], [-2.214732134257752, 47.32335548217131], [-2.221723317968153, 47.32824658024349], [-2.238282077731131, 47.316276236106134], [-2.238254170358704, 47.31286710968403]]]}";3462;168;31;3;44;52
59358;59630;LOOBERGHE;NORD;NORD-PAS-DE-CALAIS;Commune simple;3;;1,2;50.912741374,2.2751678981;"{""type"": ""Polygon"", ""coordinates"": [[[2.274199092863897, 50.88937494825558], [2.2512129928806752, 50.89470262128224], [2.245332976344492, 50.89988838829303], [2.241592995301754, 50.915421342207296], [2.257983143003853, 50.938350096393116], [2.294612572531104, 50.932300814842066], [2.291483386882748, 50.929735471397606], [2.310910658719744, 50.9198508460975], [2.304071997625841, 50.910555099135756], [2.313688150606167, 50.90260628501987], [2.293562802424429, 50.893146243112476], [2.274199092863897, 50.88937494825558]]]}";31618;358;12;4;59;31
62043;62730;LES ATTAQUES;PAS-DE-CALAIS;NORD-PAS-DE-CALAIS;Commune simple;3;;2;50.8995873254,1.93699545869;"{""type"": ""Polygon"", ""coordinates"": [[[1.956854758909401, 50.87842394074982], [1.949309356965307, 50.88252351619215], [1.940491543597921, 50.87968568937908], [1.918825885927099, 50.880836674650254], [1.881734288193623, 50.893787989110905], [1.881897048763792, 50.89412139685563], [1.89193365558878, 50.89186928911311], [1.8960142524957821, 50.89400479899409], [1.8940940066679621, 50.907050320035715], [1.905418829741961, 50.91408494946396], [1.9206326594830792, 50.91141830959578], [1.921943395080739, 50.914461926758506], [1.9349497988726472, 50.920108748194586], [1.950360841012656, 50.91752093257948], [1.958401526050245, 50.91305778536925], [1.9781988881527042, 50.918541220335065], [1.9840675757452222, 50.907724974173874], [1.956854758909401, 50.87842394074982]]]}";36279;43;16;6;62;31
